month,coverage,quantile_loss_kwh,point_pinball_same_tau_kwh,point_net_mae_kwh,risk_net_absolute_error_kwh,net_underforecast_kwh,policy,grouping,tau,n_intervals,hour
,0.7984031936127745,10.956571177781468,15.285423637404982,29.074072573847662,40.29687642123131,4.828659822558678,P,hour,0.8,2004,2.0
,0.7919161676646707,10.754830757297073,14.161517737357872,27.883470163305176,39.037380873395925,4.9122576376964835,P,hour,0.8,2004,3.0
,0.7949101796407185,11.363843727973157,15.774406906253338,29.430327057740737,41.34320334629012,5.1586717645252245,P,hour,0.8,2004,4.0
,0.7849301397205589,12.503887399955184,32.7203595165499,45.927774393197794,44.800539857021555,5.906299047584791,P,hour,0.8,2004,5.0
,0.7859281437125748,12.139411301955413,37.63941824726455,52.6415047140149,45.8086714953102,4.962795004822293,P,hour,0.8,2004,6.0
,0.7874251497005988,15.50080578332655,20.811523232053908,47.27221324662844,57.259836625613644,6.74806409700637,P,hour,0.8,2004,7.0
,0.7974051896207585,19.85753855749655,21.975022852379908,64.57912942864502,73.0723648595446,8.73844264264606,P,hour,0.8,2004,8.0
,0.7929141716566867,25.178933156179834,28.2422812777837,72.2279432269032,92.05631629530689,11.27944982853076,P,hour,0.8,2004,9.0
,0.7959081836327345,28.367579466840976,40.89829583914526,77.37681753682308,102.9701721639206,12.955908390094768,P,hour,0.8,2004,10.0
,0.7934131736526946,29.54696097896424,53.22351448712214,87.70489773298188,110.1487049776108,12.528699972403473,P,hour,0.8,2004,11.0
,0.7924151696606786,29.78027150776076,50.82498741260021,87.4631374107869,113.38605324955972,11.838434763081365,P,hour,0.8,2004,12.0
,0.8008982035928144,27.02470640847617,38.02804872413978,75.54034040730784,98.26285346850685,12.286892857958009,P,hour,0.8,2004,13.0
,0.7949101796407185,24.34713577474519,26.93858226701189,71.7292502036432,89.59282378481832,10.714285029635874,P,hour,0.8,2004,14.0
,0.7799401197604791,20.203673303334135,20.972749078975752,62.24011793555283,71.6175714902916,9.800265008793026,P,hour,0.8,2004,15.0
,0.7889221556886228,16.767597586335043,27.66964985257931,52.227232681734286,61.072075027659906,7.588637634671775,P,hour,0.8,2004,16.0
,0.7904191616766467,14.970096289755128,45.10119673791094,61.87735160091271,54.62114281103431,6.743112879247115,P,hour,0.8,2004,17.0
,0.780938123752495,13.301503600275083,31.428676618651448,44.20756596711528,47.65169754046548,6.285273486969984,P,hour,0.8,2004,18.0
,0.7929141716566867,11.287142411431695,15.350736835762206,29.629187790477395,40.92809944905027,5.169204202702736,P,hour,0.8,2004,19.0
,0.780439121756487,11.931290227943332,15.62680902038175,30.5079344995996,43.140670241086596,5.505260299543358,P,hour,0.8,2004,20.0
,0.7909181636726547,12.132998759742293,16.49811050433006,31.276379671620973,43.720549668708,5.648148043334487,P,hour,0.8,2004,21.0
,0.7889221556886228,12.355152459310567,18.38809716902303,33.19336803524407,45.234650243644154,5.513704017636229,P,hour,0.8,2004,22.0
,0.7854291417165669,12.375449370607942,25.598670538380137,38.01429986450445,45.19809449038775,5.559717454217319,P,hour,0.8,2004,23.0
2025-02,0.5376984126984127,18.718447036353602,18.718447036353602,42.83694675798387,42.83694675798387,16.918429474594713,E,month,0.8,4032,
2025-03,0.49955197132616486,22.766335199372964,22.766335199372964,46.719980960663676,46.719980960663676,22.37056501206705,E,month,0.8,4464,
2025-04,0.4777777777777778,23.94726417025885,23.94726417025885,48.02266833339116,48.02266833339116,23.904550839301034,E,month,0.8,4320,
2025-05,0.4520609318996416,27.264773091298935,27.264773091298935,50.31357187867978,50.31357187867978,28.670097859271632,E,month,0.8,4464,
2025-06,0.4625,35.22870750557983,35.22870750557983,61.98676763423336,61.98676763423336,38.05225663122193,E,month,0.8,4320,
2025-07,0.5002240143369175,29.79658686546522,29.79658686546522,57.7959604931288,57.7959604931288,30.39565794473243,E,month,0.8,4464,
2025-08,0.476926523297491,27.94300129181352,27.94300129181352,56.78082337537045,56.78082337537045,27.644727694565713,E,month,0.8,4464,
2025-09,0.3923611111111111,34.380561969992115,34.380561969992115,62.22925875564083,62.22925875564083,36.55785036477325,E,month,0.8,4320,
2025-10,0.39762544802867383,27.651599739589983,27.651599739589983,47.7350336202602,47.7350336202602,30.17432169256324,E,month,0.8,4464,
2025-11,0.40023148148148147,23.72471816278397,23.72471816278397,38.47704944554096,38.47704944554096,26.715513789459628,E,month,0.8,4320,
2025-12,0.4596774193548387,23.579930947510157,23.579930947510157,42.17464656728942,42.17464656728942,25.241669390087118,E,month,0.8,4464,
,0.4660678642714571,15.602429012065306,15.602429012065306,29.86873335402126,29.86873335402126,16.047803902101755,E,hour,0.8,2004,0.0
,0.47654690618762474,15.907021534124208,15.907021534124208,30.180772638354192,30.180772638354192,16.451445010755616,E,hour,0.8,2004,1.0
,0.468562874251497,15.285423637404982,15.285423637404982,29.074072573847662,29.074072573847662,15.78434853772575,E,hour,0.8,2004,2.0
,0.49151696606786427,14.161517737357872,14.161517737357872,27.883470163305176,27.883470163305176,14.30803950782806,E,hour,0.8,2004,3.0
,0.4805389221556886,15.774406906253338,15.774406906253338,29.430327057740737,29.430327057740737,16.480569157841988,E,hour,0.8,2004,4.0
,0.2564870259481038,32.7203595165499,32.7203595165499,45.927774393197794,45.927774393197794,39.22467439651723,E,hour,0.8,2004,5.0
,0.22954091816367264,37.63941824726455,37.63941824726455,52.6415047140149,52.6415047140149,45.18519550743595,E,hour,0.8,2004,6.0
,0.5633732534930139,20.811523232053908,20.811523232053908,47.27221324662844,47.27221324662844,18.928467637880367,E,hour,0.8,2004,7.0
,0.7040918163672655,21.975022852379908,21.975022852379908,64.57912942864502,64.57912942864502,15.098661611084843,E,hour,0.8,2004,8.0
,0.6407185628742516,28.2422812777837,28.2422812777837,72.2279432269032,72.2279432269032,22.994487720671774,E,hour,0.8,2004,9.0
,0.47704590818363274,40.89829583914526,40.89829583914526,77.37681753682308,77.37681753682308,42.37155388630108,E,hour,0.8,2004,10.0
,0.37375249500998003,53.22351448712214,53.22351448712214,87.70489773298188,87.70489773298188,59.47089156754294,E,hour,0.8,2004,11.0
,0.4086826347305389,50.82498741260021,50.82498741260021,87.4631374107869,87.4631374107869,55.553933217404705,E,hour,0.8,2004,12.0
,0.49001996007984033,38.02804872413978,38.02804872413978,75.54034040730784,75.54034040730784,38.199967737797024,E,hour,0.8,2004,13.0
,0.6711576846307385,26.93858226701189,26.93858226701189,71.7292502036432,71.7292502036432,20.987887043805415,E,hour,0.8,2004,14.0
,0.7210578842315369,20.972749078975752,20.972749078975752,62.24011793555283,62.24011793555283,14.207875819775312,E,hour,0.8,2004,15.0
,0.4535928143712575,27.66964985257931,27.66964985257931,52.227232681734286,52.227232681734286,28.70700552705409,E,hour,0.8,2004,16.0
,0.20209580838323354,45.10119673791094,45.10119673791094,61.87735160091271,61.87735160091271,54.54287736288065,E,hour,0.8,2004,17.0
,0.2684630738522954,31.428676618651448,31.428676618651448,44.20756596711528,44.20756596711528,37.64527237538066,E,hour,0.8,2004,18.0
,0.48403193612774453,15.350736835762206,15.350736835762206,29.629187790477395,29.629187790477395,15.708165462777878,E,hour,0.8,2004,19.0
,0.4880239520958084,15.62680902038175,15.62680902038175,30.5079344995996,30.5079344995996,15.875370200769714,E,hour,0.8,2004,20.0
,0.46457085828343314,16.49811050433006,16.49811050433006,31.276379671620973,31.276379671620973,17.071390950009786,E,hour,0.8,2004,21.0
,0.4411177644710579,18.38809716902303,18.38809716902303,33.19336803524407,33.19336803524407,19.582372603290363,E,hour,0.8,2004,22.0
,0.3023952095808383,25.598670538380137,25.598670538380137,38.01429986450445,38.01429986450445,29.993017609132078,E,hour,0.8,2004,23.0
2025-02,0.7946428571428571,11.931842482140514,18.718447036353602,42.83694675798387,45.70598761627024,4.651074931477447,PE,month,0.8,4032,
2025-03,0.7768817204301075,14.854634279790208,22.766335199372964,46.719980960663676,52.03648141211555,7.412229995611833,PE,month,0.8,4464,
2025-04,0.7912037037037037,15.268721408938339,23.94726417025885,48.02266833339116,54.91367585397432,7.143310396905796,PE,month,0.8,4320,
2025-05,0.7708333333333334,17.52447611650371,27.264773091298935,50.31357187867978,62.1718631663363,8.483505805394085,PE,month,0.8,4464,
